,P_value,job1_time,job2 kind,job2_time,job3_time,multipositive_counter,multipositive_rate,num_cores_per_executor,num_executors
0,1e-06,5.91,base,130.814,9.983,8.0,6.365336921261578e-06,4.0,12.0
1,1e-06,5.5760000000000005,aggregate_by_key,5.72,9.952,8.0,6.365336921261578e-06,4.0,12.0
2,1e-06,5.4110000000000005,group_by_key,5.507999999999999,10.418,8.0,6.365336921261578e-06,4.0,12.0
3,0.1,8.266,base,22.701999999999998,7.849,774845.0,0.6165186858443659,4.0,12.0
4,0.1,5.4129999999999985,aggregate_by_key,3.317,7.523,774845.0,0.6165186858443659,4.0,12.0
5,0.1,5.8839999999999995,group_by_key,2.445,8.012,774845.0,0.6165186858443659,4.0,12.0
6,0.01,5.396,base,42.488,8.619,109907.0,0.08744938562563702,4.0,12.0
7,0.01,5.345,aggregate_by_key,3.661,8.331,109907.0,0.08744938562563702,4.0,12.0
8,0.01,5.169,group_by_key,2.812,8.799,109907.0,0.08744938562563702,4.0,12.0
9,0.001,5.627999999999999,base,69.689,8.815,11331.0,0.009015704081851868,4.0,12.0
10,0.001,5.44,aggregate_by_key,3.999,9.768,11331.0,0.009015704081851868,4.0,12.0
11,0.001,4.977,group_by_key,3.406,8.82,11331.0,0.009015704081851868,4.0,12.0
12,0.0001,5.0710000000000015,base,85.575,9.588,1165.0,0.0009269521891587172,4.0,12.0
13,0.0001,5.2620000000000005,aggregate_by_key,5.812,9.417,1165.0,0.0009269521891587172,4.0,12.0
14,0.0001,4.758,group_by_key,4.243,10.198,1165.0,0.0009269521891587172,4.0,12.0
15,1e-05,6.28,base,115.555,9.782,114.0,9.070605112797748e-05,4.0,12.0
16,1e-05,5.382999999999999,aggregate_by_key,6.317,10.608,114.0,9.070605112797748e-05,4.0,12.0
17,1e-05,5.332000000000002,group_by_key,4.631,10.083,114.0,9.070605112797748e-05,4.0,12.0
18,1e-07,5.018,base,162.78799999999995,10.717,1.0,7.956671151576972e-07,4.0,12.0
19,1e-07,5.746,base,167.382,10.84,1.0,7.956671151576972e-07,4.0,12.0
20,1e-07,4.912,aggregate_by_key,7.7,11.688,1.0,7.956671151576972e-07,4.0,12.0
21,1e-07,5.371,group_by_key,5.928,10.719000000000001,1.0,7.956671151576972e-07,4.0,12.0
