,P_value,job1_time,job2 kind,job2_time,job3_time,multipositive_counter,multipositive_rate,num_cores_per_executor,num_executors
25,1e-07,9.181,aggregate_by_key,16.332,36.55,1.0,7.956671151576972e-07,1.0,1.0
26,1e-07,9.616,aggregate_by_key,17.616,37.625,1.0,7.956671151576972e-07,2.0,1.0
27,1e-07,6.9529999999999985,aggregate_by_key,15.515999999999998,35.764,1.0,7.956671151576972e-07,4.0,1.0
30,1e-07,6.271,aggregate_by_key,9.924,18.672,1.0,7.956671151576972e-07,1.0,4.0
31,1e-07,5.452000000000001,aggregate_by_key,5.278,10.634,1.0,7.956671151576972e-07,2.0,4.0
32,1e-07,5.256,aggregate_by_key,5.09,10.636,1.0,7.956671151576972e-07,4.0,4.0
34,1e-07,6.154,aggregate_by_key,9.573,18.399,1.0,7.956671151576972e-07,1.0,8.0
35,1e-07,5.275,aggregate_by_key,5.4620000000000015,10.274,1.0,7.956671151576972e-07,2.0,8.0
36,1e-07,5.2139999999999995,aggregate_by_key,5.481,11.177,1.0,7.956671151576972e-07,4.0,8.0
38,1e-07,5.897,aggregate_by_key,14.11,20.404,1.0,7.956671151576972e-07,1.0,12.0
39,1e-07,5.622000000000001,aggregate_by_key,6.692,10.415,1.0,7.956671151576972e-07,2.0,12.0
40,1e-07,5.513,aggregate_by_key,6.59,11.087,1.0,7.956671151576972e-07,4.0,12.0
42,1e-07,5.811,aggregate_by_key,12.85,19.449,1.0,7.956671151576972e-07,1.0,16.0
43,1e-07,5.204,aggregate_by_key,7.242999999999999,10.645,1.0,7.956671151576972e-07,2.0,16.0
44,1e-07,6.173,aggregate_by_key,8.352,13.915,1.0,7.956671151576972e-07,4.0,16.0
45,1e-07,6.5420000000000025,aggregate_by_key,16.423,37.015,1.0,7.956671151576972e-07,3.0,1.0
47,1e-07,5.1770000000000005,aggregate_by_key,5.577000000000001,10.475,1.0,7.956671151576972e-07,3.0,4.0
48,1e-07,5.178999999999999,aggregate_by_key,6.226,11.286,1.0,7.956671151576972e-07,3.0,8.0
49,1e-07,5.038,aggregate_by_key,6.739,9.356,1.0,7.956671151576972e-07,3.0,12.0
50,1e-07,6.144,aggregate_by_key,7.05,11.723,1.0,7.956671151576972e-07,3.0,16.0
51,1e-07,5.824,aggregate_by_key,8.841000000000003,19.937,1.0,7.956671151576972e-07,1.0,2.0
52,1e-07,5.778,aggregate_by_key,9.022,20.042,1.0,7.956671151576972e-07,2.0,2.0
53,1e-07,4.907,aggregate_by_key,8.638,18.788,1.0,7.956671151576972e-07,3.0,2.0
54,1e-07,5.481,aggregate_by_key,8.714,19.769,1.0,7.956671151576972e-07,4.0,2.0
