,P_value,job1_time,job2 kind,job2_time,job3_time,multipositive_counter,multipositive_rate,num_cores_per_executor,num_executors,RDD_partitions
60,1e-07,8.136000000000001,aggregate_by_key,16.512999999999998,34.72,1.0,7.956671151576972e-07,1.0,1.0,1.0
61,1e-07,7.401,aggregate_by_key,9.558,21.272,1.0,7.956671151576972e-07,2.0,1.0,2.0
62,1e-07,5.892,aggregate_by_key,8.812999999999997,19.067,1.0,7.956671151576972e-07,3.0,1.0,3.0
63,1e-07,6.1720000000000015,aggregate_by_key,9.691,19.629,1.0,7.956671151576972e-07,4.0,1.0,4.0
65,1e-07,8.652000000000001,aggregate_by_key,8.451,18.896,1.0,7.956671151576972e-07,1.0,2.0,2.0
66,1e-07,6.189,aggregate_by_key,9.833,13.300999999999998,1.0,7.956671151576972e-07,2.0,2.0,4.0
67,1e-07,8.102,aggregate_by_key,5.311,10.89,1.0,7.956671151576972e-07,3.0,2.0,6.0
68,1e-07,5.82,aggregate_by_key,10.512,13.095999999999998,1.0,7.956671151576972e-07,4.0,2.0,8.0
70,1e-07,6.024,aggregate_by_key,9.98,18.699,1.0,7.956671151576972e-07,1.0,4.0,4.0
71,1e-07,5.827999999999999,aggregate_by_key,5.69,10.307,1.0,7.956671151576972e-07,2.0,4.0,8.0
72,1e-07,5.1629999999999985,aggregate_by_key,6.612,9.918,1.0,7.956671151576972e-07,3.0,4.0,12.0
73,1e-07,5.438,aggregate_by_key,6.769,9.427999999999999,1.0,7.956671151576972e-07,4.0,4.0,16.0
76,1e-07,5.863,aggregate_by_key,9.142,18.681,1.0,7.956671151576972e-07,1.0,8.0,8.0
77,1e-07,5.642,aggregate_by_key,7.9,10.749,1.0,7.956671151576972e-07,2.0,8.0,16.0
78,1e-07,5.317,aggregate_by_key,6.806,11.341,1.0,7.956671151576972e-07,3.0,8.0,24.0
79,1e-07,5.4879999999999995,aggregate_by_key,7.68,12.154000000000002,1.0,7.956671151576972e-07,4.0,8.0,32.0
80,1e-07,6.473,aggregate_by_key,10.805,19.66,1.0,7.956671151576972e-07,1.0,12.0,12.0
81,1e-07,5.513999999999999,aggregate_by_key,7.435,10.575,1.0,7.956671151576972e-07,2.0,12.0,24.0
82,1e-07,5.912000000000001,aggregate_by_key,7.893,11.501,1.0,7.956671151576972e-07,3.0,12.0,36.0
83,1e-07,5.733,aggregate_by_key,8.152999999999999,11.634,1.0,7.956671151576972e-07,4.0,12.0,48.0
85,1e-07,6.204,aggregate_by_key,10.639000000000001,20.493000000000002,1.0,7.956671151576972e-07,1.0,16.0,16.0
86,1e-07,5.8210000000000015,aggregate_by_key,7.104,11.327,1.0,7.956671151576972e-07,2.0,16.0,32.0
87,1e-07,6.065,aggregate_by_key,8.202,12.383,1.0,7.956671151576972e-07,3.0,16.0,48.0
88,1e-07,5.794,aggregate_by_key,8.194,11.422,1.0,7.956671151576972e-07,4.0,16.0,64.0
