,P_value,job1_time,job2 kind,job2_time,job3_time,multipositive_counter,multipositive_rate,num_cores_per_executor,num_executors,RDD_partitions
0,1e-06,5.91,base,130.814,9.982999999999999,8.0,6.365336921261578e-06,4.0,12.0,
1,1e-06,5.5760000000000005,aggregate_by_key,5.72,9.952,8.0,6.365336921261578e-06,4.0,12.0,
2,1e-06,5.4110000000000005,group_by_key,5.507999999999999,10.418,8.0,6.365336921261578e-06,4.0,12.0,
3,0.1,8.266,base,22.702,7.849,774845.0,0.6165186858443659,4.0,12.0,
4,0.1,5.412999999999999,aggregate_by_key,3.3169999999999997,7.523,774845.0,0.6165186858443659,4.0,12.0,
5,0.1,5.884,group_by_key,2.445,8.012,774845.0,0.6165186858443659,4.0,12.0,
6,0.01,5.396,base,42.488,8.619,109907.0,0.08744938562563702,4.0,12.0,
7,0.01,5.345,aggregate_by_key,3.661,8.331,109907.0,0.08744938562563702,4.0,12.0,
8,0.01,5.169,group_by_key,2.812,8.799,109907.0,0.08744938562563702,4.0,12.0,
9,0.001,5.627999999999999,base,69.689,8.815,11331.0,0.009015704081851868,4.0,12.0,
10,0.001,5.44,aggregate_by_key,3.9989999999999997,9.767999999999999,11331.0,0.009015704081851868,4.0,12.0,
11,0.001,4.977,group_by_key,3.406,8.82,11331.0,0.009015704081851868,4.0,12.0,
12,0.0001,5.0710000000000015,base,85.575,9.588,1165.0,0.0009269521891587172,4.0,12.0,
13,0.0001,5.2620000000000005,aggregate_by_key,5.812,9.417,1165.0,0.0009269521891587172,4.0,12.0,
14,0.0001,4.758,group_by_key,4.243,10.198,1165.0,0.0009269521891587172,4.0,12.0,
15,1e-05,6.28,base,115.555,9.782,114.0,9.070605112797748e-05,4.0,12.0,
16,1e-05,5.382999999999999,aggregate_by_key,6.317,10.607999999999999,114.0,9.070605112797748e-05,4.0,12.0,
17,1e-05,5.332000000000002,group_by_key,4.631,10.083,114.0,9.070605112797748e-05,4.0,12.0,
18,1e-07,5.018,base,162.78799999999995,10.717,1.0,7.956671151576972e-07,4.0,12.0,
19,1e-07,5.746,base,167.382,10.84,1.0,7.956671151576972e-07,4.0,12.0,
20,1e-07,4.912,aggregate_by_key,7.7,11.687999999999999,1.0,7.956671151576972e-07,4.0,12.0,
21,1e-07,5.371,group_by_key,5.928,10.719,1.0,7.956671151576972e-07,4.0,12.0,
22,1e-08,5.263999999999999,base,188.07,11.092,0.0,0.0,4.0,12.0,
23,1e-07,6.6160000000000005,base,161.25,10.649,1.0,7.956671151576972e-07,4.0,12.0,
24,1e-07,6.492000000000001,aggregate_by_key,8.527000000000001,10.242,1.0,7.956671151576972e-07,4.0,12.0,
25,1e-07,9.181,aggregate_by_key,16.332,36.55,1.0,7.956671151576972e-07,1.0,1.0,
26,1e-07,9.616,aggregate_by_key,17.616,37.625,1.0,7.956671151576972e-07,2.0,1.0,
27,1e-07,6.9529999999999985,aggregate_by_key,15.515999999999998,35.764,1.0,7.956671151576972e-07,4.0,1.0,
28,1e-07,5.249,aggregate_by_key,8.815,18.592,1.0,7.956671151576972e-07,1.0,4.0,
29,1e-07,5.343,aggregate_by_key,5.17,10.695,1.0,7.956671151576972e-07,2.0,4.0,
30,1e-07,6.271,aggregate_by_key,9.924,18.672,1.0,7.956671151576972e-07,1.0,4.0,
31,1e-07,5.452000000000001,aggregate_by_key,5.278,10.634,1.0,7.956671151576972e-07,2.0,4.0,
32,1e-07,5.256,aggregate_by_key,5.09,10.636,1.0,7.956671151576972e-07,4.0,4.0,
33,1e-07,5.334,aggregate_by_key,9.092,18.232,1.0,7.956671151576972e-07,1.0,8.0,
34,1e-07,6.154,aggregate_by_key,9.573,18.399,1.0,7.956671151576972e-07,1.0,8.0,
35,1e-07,5.275,aggregate_by_key,5.4620000000000015,10.274,1.0,7.956671151576972e-07,2.0,8.0,
36,1e-07,5.2139999999999995,aggregate_by_key,5.481,11.177,1.0,7.956671151576972e-07,4.0,8.0,
37,1e-07,5.398,aggregate_by_key,10.703,19.246,1.0,7.956671151576972e-07,1.0,12.0,
38,1e-07,5.897,aggregate_by_key,14.11,20.404,1.0,7.956671151576972e-07,1.0,12.0,
39,1e-07,5.622000000000001,aggregate_by_key,6.692,10.415,1.0,7.956671151576972e-07,2.0,12.0,
40,1e-07,5.513,aggregate_by_key,6.59,11.087,1.0,7.956671151576972e-07,4.0,12.0,
41,1e-07,5.496,aggregate_by_key,10.54,19.923,1.0,7.956671151576972e-07,1.0,16.0,
42,1e-07,5.811,aggregate_by_key,12.85,19.449,1.0,7.956671151576972e-07,1.0,16.0,
43,1e-07,5.204,aggregate_by_key,7.2429999999999986,10.645,1.0,7.956671151576972e-07,2.0,16.0,
44,1e-07,6.172999999999999,aggregate_by_key,8.352,13.915,1.0,7.956671151576972e-07,4.0,16.0,
45,1e-07,6.5420000000000025,aggregate_by_key,16.423,37.015,1.0,7.956671151576972e-07,3.0,1.0,
46,1e-07,5.2589999999999995,aggregate_by_key,9.017999999999999,19.843,1.0,7.956671151576972e-07,3.0,2.0,
47,1e-07,5.1770000000000005,aggregate_by_key,5.577000000000001,10.475,1.0,7.956671151576972e-07,3.0,4.0,
48,1e-07,5.178999999999999,aggregate_by_key,6.226,11.286,1.0,7.956671151576972e-07,3.0,8.0,
49,1e-07,5.038,aggregate_by_key,6.739,9.356,1.0,7.956671151576972e-07,3.0,12.0,
50,1e-07,6.144,aggregate_by_key,7.05,11.722999999999999,1.0,7.956671151576972e-07,3.0,16.0,
51,1e-07,5.824,aggregate_by_key,8.841000000000003,19.937,1.0,7.956671151576972e-07,1.0,2.0,
52,1e-07,5.778,aggregate_by_key,9.022,20.042,1.0,7.956671151576972e-07,2.0,2.0,
53,1e-07,4.907,aggregate_by_key,8.638,18.788,1.0,7.956671151576972e-07,3.0,2.0,
54,1e-07,5.481,aggregate_by_key,8.714,19.769000000000002,1.0,7.956671151576972e-07,4.0,2.0,
55,1e-07,6.35,aggregate_by_key,9.362,18.978,1.0,7.956671151576972e-07,1.0,2.0,
56,1e-07,4.98,aggregate_by_key,8.537,19.338,1.0,7.956671151576972e-07,2.0,2.0,
57,1e-07,5.925,aggregate_by_key,9.001,19.85,1.0,7.956671151576972e-07,3.0,2.0,
58,1e-07,5.249,aggregate_by_key,8.877,19.679000000000002,1.0,7.956671151576972e-07,4.0,2.0,
59,1e-07,6.0120000000000005,aggregate_by_key,7.619,10.494000000000002,1.0,7.956671151576972e-07,4.0,4.0,16.0
60,1e-07,8.136000000000001,aggregate_by_key,16.512999999999998,34.72,1.0,7.956671151576972e-07,1.0,1.0,1.0
61,1e-07,7.401,aggregate_by_key,9.558,21.272,1.0,7.956671151576972e-07,2.0,1.0,2.0
62,1e-07,5.892,aggregate_by_key,8.812999999999997,19.067,1.0,7.956671151576972e-07,3.0,1.0,3.0
63,1e-07,6.1720000000000015,aggregate_by_key,9.691,19.629,1.0,7.956671151576972e-07,4.0,1.0,4.0
